datetime,SMA_5,SMA_20,SMA_50,SMA_200,EMA_5,EMA_20,EMA_50,EMA_200
2023-12-06 20:30:00,241.6092987060547,240.0382659912109,240.9299768066406,226.4591348266601,240.843614584219,240.629575681749,239.7075264235819,234.4536616186923
2023-12-07 14:30:00,240.6970794677734,240.2687660217285,241.0087768554687,226.5973848724365,240.579077406732,240.5743782884165,239.7209568795888,234.509346608076
2023-12-07 15:30:00,240.6280822753906,240.5137664794922,241.1343771362305,226.7528349304199,241.0760540458943,240.7168191489691,239.8130765048684,234.584577062963
2023-12-07 16:30:00,240.5524230957031,240.7542663574219,241.1407772827149,226.9150729370117,241.1407041214165,240.7695034464445,239.8702109271269,234.6510987267391
2023-12-07 17:30:00,240.5574432373047,240.8975219726562,241.0889794921875,227.0830490112305,240.7555052215693,240.6947990631521,239.874716672019,234.7041734401236
2023-12-07 18:30:00,240.9589050292969,241.1618171691894,241.0410034179687,227.260936050415,240.9768045064368,240.763808969154,239.9352926094368,234.7709916454574
2023-12-07 19:30:00,241.3069030761719,241.4733169555664,240.9686532592773,227.4321360015869,241.2478674330022,240.8615408088663,240.0080259693072,234.8408324578024
2023-12-07 20:30:00,241.4209014892578,241.500316619873,240.9136532592773,227.6064859771728,241.711911418551,241.0309178165598,240.1112406132422,234.9184361088656
2023-12-08 14:30:00,242.0989013671875,241.4970664978027,240.8724353027344,227.8014360046387,242.6946088330704,241.3765450399455,240.2896234779037,235.0153671292959
2023-12-08 15:30:00,242.9533203125,241.5398063659668,240.7329794311523,227.9802220153809,243.2154732715262,241.6508933359924,240.4452147983168,235.1073256867003
2023-12-08 16:30:00,242.9374603271484,241.6018112182617,240.6483813476563,228.1365724945068,242.5903498974888,241.621294270604,240.4803084591441,235.1693433728964
2023-12-08 17:30:00,243.0864624023438,241.7675163269043,240.5198913574219,228.3052474975586,242.5719011523624,241.7083142126521,240.5608847416133,235.2426335250279
2023-12-08 18:30:00,243.3604431152344,241.9985115051269,240.4578894042969,228.4848470306397,243.0512350862754,241.9275131404092,240.6961403577894,235.32987003676
2023-12-08 19:30:00,243.1824432373047,242.2505065917969,240.4081893920898,228.6730720520019,243.290824815004,242.1029884863189,240.8166840407177,235.4138514719411
2023-12-08 20:30:00,243.0850036621094,242.3375068664551,240.4204293823242,228.8550220489502,243.450551300823,242.2617518945229,240.9325005203939,235.4969972709513
2023-12-11 14:30:00,242.7279815673828,242.0584114074707,240.3285293579102,229.0161475372314,242.1520317591424,242.0039653022618,240.8784806049189,235.5373753346809
2023-12-11 15:30:00,242.1709808349609,241.8153564453125,240.254729309082,229.2076975250244,241.3513545060949,241.7893019401417,240.8342264635495,235.5792919980175
2023-12-11 16:30:00,241.1106994628906,241.6300315856934,240.2312933349609,229.4095404815674,240.47040170198,241.4958918595329,240.7508644882633,235.610428357179
2023-12-11 17:30:00,240.1002990722656,241.4835166931152,240.202053527832,229.6121025085449,239.886268574432,241.2313309509427,240.6711444032073,235.6413494911309
2023-12-11 18:30:00,239.3866973876953,241.4956161499023,240.2116955566406,229.8301874542236,239.9915109994911,241.13329903653,240.6527464207133,235.6867290568869
2023-12-11 19:30:00,239.3977203369141,241.5055168151856,240.2046975708008,230.0493374633789,239.8643764736191,240.9882331684676,240.6118586168373,235.7257676475833
2023-12-11 20:30:00,239.3777191162109,241.4855163574219,240.2092974853516,230.2570783996582,239.7929156145742,240.8607818092311,240.5741384317254,235.7648146749355
2023-12-12 14:30:00,238.8360198974609,241.1820159912109,240.1294973754883,230.4507283782959,238.5286104097162,240.397850208352,240.3947604540107,235.7671548274238
2023-12-12 15:30:00,238.230419921875,240.9030158996582,240.1781973266602,230.6333283996582,237.5824077536129,239.9494837543571,240.2102601397909,235.7663871419908
2023-12-12 16:30:00,237.0640197753906,240.6222602844238,240.1257971191406,230.8224283599853,236.5116035414711,239.4181038841505,239.9812301389045,235.7524926939828
2023-12-12 17:30:00,236.0793182373047,240.2856201171875,240.0300289916992,231.0074113464356,235.9032689381292,238.9674844410357,239.7735975739061,235.741886793858
2023-12-12 18:30:00,235.4993194580078,240.0336204528809,239.986828918457,231.1924113464355,236.1855126254194,238.7562954466513,239.6550251200274,235.7519177710336
2023-12-12 19:30:00,235.6877593994141,239.74873046875,239.9641729736328,231.371955871582,236.4377416526234,238.5835244238304,239.5486398097138,235.7637613723868
2023-12-12 20:30:00,235.9437591552734,239.3642303466797,239.9304888916016,231.5483308410645,236.61516150865,238.4298555473421,239.4475167277919,235.7757637589372
2023-12-13 14:30:00,235.8417602539062,238.8443702697754,239.8318890380859,231.7134808349609,235.6967745425505,237.9946312676287,239.2283984486766,235.7567014390508
2023-12-13 15:30:00,234.7844604492188,238.2473701477051,239.7038909912109,231.8528308105469,233.5978832643696,237.1761045476648,238.842975007866,235.693451680533
2023-12-13 16:30:00,233.5224609375,237.6426200866699,239.6038909912109,232.0106803131104,232.5452563233818,236.5345710137354,238.5134466719264,235.6411785537755
2023-12-13 17:30:00,232.2000213623047,236.9586250305176,239.4670910644531,232.1556803131103,231.8068381592728,235.9436596630039,238.192527266402,235.5883310241962
2023-12-13 18:30:00,231.5940399169922,236.4671295166016,239.4166928100586,232.319983291626,232.5179234375621,235.7528438850169,238.0257651772937,235.571930655738
2023-12-13 19:30:00,232.1840393066406,236.1191291809082,239.4104928588867,232.4977832794189,233.9486148112393,235.8535251872623,237.9780880157761,235.5842497293983
2023-12-13 20:30:00,234.1600189208984,236.105379486084,239.4734228515625,232.6733832550049,235.7257428005919,236.1798560055513,238.0291433398357,235.6210233517853
2023-12-14 14:30:00,237.4259979248047,236.4563743591308,239.6976208496094,232.8787327575684,239.4071276873738,237.1884313822548,238.3719180112515,235.7319574225232
2023-12-14 15:30:00,241.0150573730469,236.9347145080566,239.8211267089844,233.0379552459717,242.363184815671,238.2443235432082,238.7602858959972,235.8567667921724
2023-12-14 16:30:00,244.6830383300781,237.6128143310547,239.9722265625,233.2186612701416,245.668789470213,239.5810545180738,239.2904707149501,236.0201820358253
2023-12-14 17:30:00,247.2360382080078,238.0814643859863,240.0956784057617,233.3816152191162,246.9708586295561,240.5328585590422,239.6937854691969,236.1550558160484
2023-12-14 18:30:00,249.3940399169922,238.6044593811035,240.2950784301758,233.5472652435303,248.0039081944437,241.44115844144,240.1006961301781,236.2935130449854
2023-12-14 19:30:00,250.2608612060547,239.1771598815918,240.5327404785156,233.7115867614746,249.0372734317124,242.3614294380885,240.5321983959064,236.4408811132568
2023-12-14 20:30:00,250.8338226318359,239.9341651916504,240.7677426147461,233.8788368225098,249.7382176881989,243.1974938917155,240.9481947804267,236.5871420594052
2023-12-15 14:30:00,250.9359222412109,240.7891899108887,241.0489505004883,234.0501393127441,250.7556440675232,244.1111132188066,241.4125987822206,236.7483694700198
2023-12-15 15:30:00,251.394921875,241.6641899108887,241.2457504272461,234.1963893127441,251.1270944174113,244.8500543519857,241.8226927561409,236.8988334068075
2023-12-15 16:30:00,252.0195617675781,242.5895202636719,241.4068765258789,234.3624053192139,251.815798540644,245.644640298188,242.2685952671592,237.0609664752683
