datetime,Volume,VWAP,OBV,Cumulative_Return
2024-05-20 17:30:00,5243885,218.3195809723553,32085615360,-0.1004341334981831
2024-05-20 18:30:00,4155814,218.3139161770114,32093926987,-0.09710716298217748
2024-05-20 19:30:00,4001966,218.3084702289306,32101930918,-0.0967891796502699
2024-05-21 13:30:00,25305450,218.2765743575157,32152541817,-0.08047695766907559
2024-05-21 14:30:00,10499161,218.2636079183143,32173540138,-0.07652284241969143
2024-05-21 15:30:00,15054308,218.2464247401807,32203648753,-0.06127397812508439
2024-05-21 16:30:00,10506818,218.2343758793339,32203648752,-0.06230645905514265
2024-05-21 17:30:00,19257623,218.2139769920489,32242163997,-0.04805904139959272
2024-05-21 18:30:00,17891554,218.1952478061186,32277947104,-0.04620950793005507
2024-05-21 19:30:00,10595135,218.1848035827741,32299137373,-0.03628948345549965
2024-05-22 13:30:00,28409000,218.1518778291559,32299137372,-0.06509395277148633
2024-05-22 14:30:00,13024837,218.1365432710859,32299137371,-0.0683718512994369
2024-05-22 15:30:00,9843889,218.1250711886789,32318825148,-0.06653933155288472
2024-05-22 16:30:00,8797078,218.1145062553797,32318825147,-0.07252894971610524
2024-05-22 17:30:00,9000171,218.1032876046306,32318825146,-0.08016779626760462
2024-05-22 18:30:00,6866229,218.0950375016644,32332557603,-0.07283708714350723
2024-05-22 19:30:00,5318433,218.0887468465135,32343194468,-0.06981211021049227
2024-05-23 13:30:00,23590223,218.0582606605779,32343194467,-0.08811690696187935
2024-05-23 14:30:00,11191091,218.043761545467,32343194466,-0.0888906375215347
2024-05-23 15:30:00,6365449,218.0357670050282,32355925363,-0.08243857691550271
2024-05-23 16:30:00,5905273,218.0282189077182,32355925362,-0.08620688025506018
2024-05-23 17:30:00,9540047,218.0149964185423,32355925361,-0.1041710087105591
2024-05-23 18:30:00,6050446,218.0066486943937,32368026252,-0.1032366717566109
2024-05-23 19:30:00,4874167,217.9999290416528,32377774585,-0.1031385277805006
2024-05-24 13:30:00,19174737,217.9759489841223,32416124058,-0.08207774420718716
2024-05-24 14:30:00,13179281,217.959758244532,32442482619,-0.07861860226910056
2024-05-24 15:30:00,7119451,217.951088388607,32456721520,-0.07696677456203205
2024-05-24 16:30:00,6496071,217.9432295209272,32469713661,-0.07572737210288738
2024-05-24 17:30:00,6363772,217.9356821687864,32482441204,-0.07185627752029311
2024-05-24 18:30:00,5147493,217.9295346857647,32482441203,-0.0733016563016915
2024-05-24 19:30:00,4545287,217.924082600958,32482441202,-0.07423087338529677
2024-05-28 13:30:00,22387730,217.8946222793454,32482441201,-0.09374356570141096
2024-05-28 14:30:00,8415391,217.883697448443,32499271982,-0.09100766452467579
2024-05-28 15:30:00,7786665,217.8738864286947,32514845311,-0.08476150147366168
2024-05-28 16:30:00,4746570,217.867720280563,32514845310,-0.09134470952770601
2024-05-28 17:30:00,4456972,217.8618379701761,32514845309,-0.09485339605726417
2024-05-28 18:30:00,5367771,217.854915024697,32525580850,-0.08991744721059769
2024-05-28 19:30:00,3588710,217.8503367273397,32532758269,-0.08765225903645857
2024-05-29 13:30:00,16877980,217.8281714478147,32532758268,-0.09403161748362232
2024-05-29 14:30:00,7541709,217.8182068191534,32532758267,-0.09552961277869776
2024-05-29 15:30:00,6482306,217.8098250950847,32545722878,-0.09092039042713973
2024-05-29 16:30:00,7077148,217.80083667921,32559877173,-0.08718768987827386
2024-05-29 17:30:00,4445038,217.7951395018241,32559877172,-0.08920090166430994
